æbəhəlimə:abohalima;æ:a,bə:bo,hə:ha,li:li,mə:ma;~æ~ə~ə~i~ə~
skætəɹ:scatter;skæ:sca,tə:tte,ɹ:r;~æ~ə~1,~
skændɪneɪvɪən:scandinavian;skæ:sca,ndɪ:ndi,neɪ:na,vɪ:vi,ə:a,n:n;~æ~ɪ~eɪ~ɪ~ə~1,~
skaɪ:sky;skaɪ:sky;~aɪ~
skeɪl:scale;skeɪ:sca,l:le;~eɪ~1,~
sklɪɹədɜɹmə:scleroderma;sklɪ:scle,ɹə:ro,dɜ:de,ɹmə:rma;~ɪ~ə~ɜ~ə~
skoʊld:scold;skoʊ:sco,ld:ld;~oʊ~1,~
skul:school;sku:schoo,l:l;~u~1,~
skulz:schools;sku:schoo,lz:ls;~u~1,~
skwɔlz:squalls;skwɔ:squa,lz:lls;~ɔ~1,~
skwɑndəɹ:squander;skwɑ:squa,ndə:nde,ɹ:r;~ɑ~ə~1,~
skwɛə:square;skwɛ:squa,ə:re;~ɛ~ə~
skɛdʒul:schedule;skɛ:sche,dʒu:du,l:le;~ɛ~u~1,~
skɪlfəl:skillful;skɪ:ski,l:ll,fə:fu,l:l;~ɪ~1,~ə~1,~
skɪlnəs:skillness;skɪ:ski,l:ll,nə:ne,s:ss;~ɪ~1,~ə~1,~
skɪl:skill;skɪ:ski,l:ll;~ɪ~1,~
skʌl:skull;skʌ:sku,l:ll;~ʌ~1,~
skʌlptʃəɹəl:sculptural;skʌ:scu,lptʃə:lptu,ɹə:ra,l:l;~ʌ~ə~ə~1,~
skɪlz:skills;skɪ:ski,lz:lls;~ɪ~2,~
skɪn:skin;skɪ:ski,n:n;~ɪ~1,~
skɔɹ:score;skɔ:sco,ɹ:re;~ɔ~1,~
skɛəɹi:scary;skɛ:sca,ə:,ɹi:ry;~ɛ~ə~i~
skɔɹn:scorn;skɔ:sco,ɹn:rn;~ɔ~1,~
skɛɹs:scarce;skɛ:sca,ɹs:rce;~ɛ~1,~
skɜɹt:skirt;skɜ:ski,ɹt:rt;~ɜ~1,~
skɹætʃ:scratch;skɹæ:scra,tʃ:tch;~æ~1,~
skɹeɪp:scrape;skɹeɪ:scra,p:pe;~eɪ~1,~
skɹin:screen;skɹi:scree,n:n;~i~1,~
skɹu:screw;skɹu:screw;~u~
skɹɪpts:scripts;skɹɪ:scri,pts:pts;~ɪ~1,~
slæʃt:slashed;slæ:sla,ʃt:shed;~æ~1,~
slaɪd:slide;slaɪ:sli,d:de;~aɪ~1,~
slaɪt:slight;slaɪ:sli,t:ght;~aɪ~1,~
sleɪv:slave;sleɪ:sla,v:ve;~eɪ~1,~
sleɪvəɹɪ:slavery;sleɪ:sla,və:ve,ɹɪ:ry;~eɪ~ə~ɪ~
slip:sleep;sli:slee,p:p;~i~1,~
slipɪŋ:sleeping;sli:slee,pɪ:pi,ŋ:ng;~i~ɪ~1,~
sloʊ:slow;sloʊ:slow;~oʊ~
sloʊp:slope;sloʊ:slo,p:pe;~oʊ~1,~
sluθs:sleuths;slu:sleu,θs:ths;~u~1,~
slɪp:slip;slɪ:sli,p:p;~ɪ~1,~
slɑpɪɛst:sloppiest;slɑ:slo,pɪ:ppi,ɛ:e,st:st;~ɑ~ɪ~ɛ~1,~
slɪpəɹɪ:slippery;slɪ:sli,pə:ppe,ɹɪ:ry;~ɪ~ə~ɪ~
smaɪl:smile;smaɪ:smi,l:le;~aɪ~1,~
smoʊk:smoke;smoʊ:smo,k:ke;~oʊ~1,~
smuð:smooth;smu:smoo,ð:th;~u~1,~
smɔl:small;smɔ:sma,l:ll;~ɔ~1,~
smɛl:smell;smɛ:sme,l:ll;~ɛ~1,~
smɪə:smear;smɪ:smea,ə:r;~ɪ~ə~
smɑɹt:smart;smɑ:sma,ɹt:rt;~ɑ~1,~
snaɪpəɹz:snipers';snaɪ:sni,pə:pe,ɹz:rs';~aɪ~ə~1,~
sneɪk:snake;sneɪ:sna,k:ke;~eɪ~1,~
snoʊ:snow;snoʊ:snow;~oʊ~
snoʊz:snows;snoʊ:snow,z:s;~oʊ~1,~
snɪft:sniffed;snɪ:sni,ft:ffed;~ɪ~1,~
snɑɹlɪŋ:snarling;snɑ:sna,ɹlɪ:rli,ŋ:ng;~ɑ~ɪ~1,~
soʊ:sew;soʊ:sew;~oʊ~
soʊ:so;soʊ:so;~oʊ~
soʊl:soul;soʊ:sou,l:l;~oʊ~1,~
soʊldʒəɹ:soldier;soʊ:so,ldʒə:ldie,ɹ:r;~oʊ~ə~1,~
soʊləɹ:solar;soʊ:so,lə:la,ɹ:r;~oʊ~ə~1,~
soʊp:soap;soʊ:soa,p:p;~oʊ~1,~
soʊʃəl:social;soʊ:so,ʃə:cia,l:l;~oʊ~ə~1,~
spænd:spanned;spæ:spa,nd:nned;~æ~1,~
spaɪt:spite;spaɪ:spi,t:te;~aɪ~1,~
speɪd:spade;speɪ:spa,d:de;~eɪ~1,~
speɪskɹæft:spacecraft;speɪ:spa,s:ce,kɹæ:cra,ft:ft;~eɪ~1,~æ~1,~
speɪs:space;speɪ:spa,s:ce;~eɪ~1,~
spid:speed;spi:spee,d:d;~i~1,~
spik:speak;spi:spea,k:k;~i~1,~
spikɜɹz:speakers;spi:spea,kɜ:ke,ɹz:rs;~i~ɜ~1,~
spitʃ:speech;spi:spee,tʃ:ch;~i~1,~
spiə:speare;spi:spea,ə:re;~i~ə~
spiʃɪz:species;spi:spe,ʃɪ:cie,z:s;~i~ɪ~1,~
splɛndɪd:splendid;splɛ:sple,ndɪ:ndi,d:d;~ɛ~ɪ~1,~
splɪt:split;splɪ:spli,t:t;~ɪ~1,~
spun:spoon;spu:spoo,n:n;~u~1,~
spəsɪfɪk:specific;spə:spe,sɪ:ci,fɪ:fi,k:c;~ə~ɪ~ɪ~2,~
spɑ:spa;spɑ:spa;~ɑ~
spɛktɹəm:spectrum;spɛ:spe,ktɹə:ctru,m:m;~ɛ~ə~1,~
spɛkyəleɪtɪŋ:speculating;spɛ:spe,kyə:cu,leɪ:la,tɪ:ti,ŋ:ng;~ɛ~ə~eɪ~ɪ~1,~
spɛl:spell;spɛ:spe,l:ll;~ɛ~1,~
spɪl:spill;spɪ:spi,l:ll;~ɪ~1,~
spɪn:spin;spɪ:spi,n:n;~ɪ~1,~
spɛnd:spend;spɛ:spe,nd:nd;~ɛ~1,~
spɛnt:spent;spɛ:spe,nt:nt;~ɛ~1,~
spɪt:spit;spɪ:spi,t:t;~ɪ~1,~
spɑt:spot;spɑ:spo,t:t;~ɑ~1,~
spɔɹ:spaur;spɔ:spau,ɹ:r;~ɔ~1,~
spɛə:spare;spɛ:spa,ə:re;~ɛ~ə~
spɪə:spear;spɪ:spea,ə:r;~ɪ~ə~
spɔɹt:sport;spɔ:spo,ɹt:rt;~ɔ~1,~
spɛʃəl:special;spɛ:spe,ʃə:cia,l:l;~ɛ~ə~1,~
spɛʃəlɪst:specialist;spɛ:spe,ʃə:cia,lɪ:li,st:st;~ɛ~ə~ɪ~1,~
spɪɹət:spirit;spɪ:spi,ɹə:ri,t:t;~ɪ~ə~1,~
spɹɛd:spread;spɹɛ:sprea,d:d;~ɛ~1,~
spɔɪl:spoil;spɔɪ:spoi,l:l;~ɔɪ~1,~
spɹɪŋ:spring;spɹɪ:spri,ŋ:ng;~ɪ~1,~
spɹɪŋklz:sprinkles;spɹɪ:spri,ŋklz:nkles;~ɪ~1,~
stæf:staff;stæ:sta,f:ff;~æ~2,~
stæmp:stamp;stæ:sta,mp:mp;~æ~1,~
stænd:stand;stæ:sta,nd:nd;~æ~1,~
stændɪŋ:standing;stæ:sta,ndɪ:ndi,ŋ:ng;~æ~ɪ~1,~
stændəɹd:standard;stæ:sta,ndə:nda,ɹd:rd;~æ~ə~2,~
stætʃuz:statues;stæ:sta,tʃu:tue,z:s;~æ~u~1,~
staɪl:style;staɪ:sty,l:le;~aɪ~2,~
steɪ:stay;steɪ:stay;~eɪ~
steɪdʒ:stage;steɪ:sta,dʒ:ge;~eɪ~1,~
steɪn:stain;steɪ:stai,n:n;~eɪ~1,~
steɪt:state;steɪ:sta,t:te;~eɪ~1,~
steɪtmənt:statement;steɪ:sta,tmə:teme,nt:nt;~eɪ~ə~1,~
steɪts:states;steɪ:sta,ts:tes;~eɪ~1,~
steɪʃən:station;steɪ:sta,ʃə:tio,n:n;~eɪ~ə~2,~
stilhɛd:steelhead;sti:stee,l:l,hɛ:hea,d:d;~i~1,~ɛ~1,~
stil:steal;sti:stea,l:l;~i~1,~
stil:steel;sti:stee,l:l;~i~1,~
stim:steam;sti:stea,m:m;~i~1,~
stip:steep;sti:stee,p:p;~i~1,~
stiv:steve;sti:ste,v:ve;~i~1,~
stoʊn:stone;stoʊ:sto,n:ne;~oʊ~1,~
stoʊv:stove;stoʊ:sto,v:ve;~oʊ~1,~
studmən:studeman;stu:stu,dmə:dema,n:n;~u~ə~1,~
studənt:student;stu:stu,də:de,nt:nt;~u~ə~1,~
studənts:students;stu:stu,də:de,nts:nts;~u~ə~1,~
stupəd:stupid;stu:stu,pə:pi,d:d;~u~ə~1,~
stuɪŋ:stewing;stu:stew,ɪ:i,ŋ:ng;~u~ɪ~1,~
stuəɹts:stuarts;stu:stu,ə:a,ɹts:rts;~u~ə~1,~
stɛdɪ:steady;stɛ:stea,dɪ:dy;~ɛ~ɪ~
stʌdɪ:study;stʌ:stu,dɪ:dy;~ʌ~ɪ~
stʌdɪz:studies;stʌ:stu,dɪ:die,z:s;~ʌ~ɪ~2,~
stɪf:stiff;stɪ:sti,f:ff;~ɪ~1,~
stʌf:stuff;stʌ:stu,f:ff;~ʌ~1,~
stɪfən:stiffen;stɪ:sti,fə:ffe,n:n;~ɪ~ə~1,~
stɪk:stick;stɪ:sti,k:ck;~ɪ~1,~
stɑk:stock;stɑ:sto,k:ck;~ɑ~1,~
stɪkɪ:sticky;stɪ:sti,kɪ:cky;~ɪ~ɪ~
stɑkɪŋ:stocking;stɑ:sto,kɪ:cki,ŋ:ng;~ɑ~ɪ~1,~
stɪl:still;stɪ:sti,l:ll;~ɪ~1,~
stɛm:stem;stɛ:ste,m:m;~ɛ~1,~
stʌmbɔ:stumbaugh;stʌ:stu,mbɔ:mbau,_:gh;~ʌ~ɔ~
stʌmək:stomach;stʌ:sto,mə:ma,k:ch;~ʌ~ə~1,~
stɛp:step;stɛ:ste,p:p;~ɛ~1,~
stɑp:stop;stɑ:sto,p:p;~ɑ~1,~
stɪtʃ:stitch;stɪ:sti,tʃ:tch;~ɪ~1,~
stɜɹbɪns:sterbenz;stɜ:ste,ɹ:r,bɪ:be,ns:nz;~ɜ~1,~ɪ~1,~
stɑɹ:star;stɑ:sta,ɹ:r;~ɑ~1,~
stɪŋ:sting;stɪ:sti,ŋ:ng;~ɪ~1,~
stɜɹ:stir;stɜ:sti,ɹ:r;~ɜ~1,~
stɔɹ:store;stɔ:sto,ɹ:re;~ɔ~2,~
stɛə:stair;stɛ:stai,ə:r;~ɛ~ə~
stɪə:steer;stɪ:stee,ə:r;~ɪ~ə~
stɔɹm:storm;stɔ:sto,ɹm:rm;~ɔ~1,~
stɑɹt:start;stɑ:sta,ɹt:rt;~ɑ~1,~
stɑɹts:starts;stɑ:sta,ɹts:rts;~ɑ~1,~
stɑɹtəd:started;stɑ:sta,ɹtə:rte,d:d;~ɑ~ə~2,~
stɑɹtɪŋ:starting;stɑ:sta,ɹtɪ:rti,ŋ:ng;~ɑ~ɪ~1,~
stɜɹz:stirs;stɜ:stir,ɹz:s;~ɜ~1,~
stɔɹɪ:story;stɔ:sto,ɹɪ:ry;~ɔ~ɪ~
stɔɹɪz:stories;stɔ:sto,ɹɪ:rie,z:s;~ɔ~ɪ~1,~
stɜɹɪŋz:stirrings;stɜ:sti,ɹɪ:rri,ŋz:ngs;~ɜ~ɪ~1,~
stɹæp:strap;stɹæ:stra,p:p;~æ~1,~
stɹætədʒɪ:strategy;stɹæ:stra,tə:te,dʒɪ:gy;~æ~ə~ɪ~
stɹætɪdʒɪst:strategist;stɹæ:stra,tɪ:te,dʒɪ:gi,st:st;~æ~ɪ~ɪ~1,~
stɹaɪk:strike;stɹaɪ:stri,k:ke;~aɪ~1,~
stɹaɪp:stripe;stɹaɪ:stri,p:pe;~aɪ~1,~
stɹaɪpəɹz:stripers;stɹaɪ:stri,pə:pe,ɹz:rs;~aɪ~ə~1,~
stɹaɪvz:strives;stɹaɪ:stri,vz:ves;~aɪ~1,~
stɹeɪndʒ:strange;stɹeɪ:stra,ndʒ:nge;~eɪ~1,~
stɹeɪndʒəɹ:stranger;stɹeɪ:stra,ndʒə:nge,ɹ:r;~eɪ~ə~1,~
stɹeɪt:straight;stɹeɪ:strai,t:ght;~eɪ~1,~
stɹeɪtn:straighten;stɹeɪ:strai,tn:ghten;~eɪ~1,~
stɹim:stream;stɹi:strea,m:m;~i~1,~
stɹit:street;stɹi:stree,t:t;~i~1,~
stɹoʊk:stroke;stɹoʊ:stro,k:ke;~oʊ~1,~
stɹɔ:straw;stɹɔ:straw;~ɔ~
stɹɪkt:strict;stɹɪ:stri,kt:ct;~ɪ~1,~
stɹʌktʃəɹ:structure;stɹʌ:stru,ktʃə:ctu,ɹ:re;~ʌ~ə~1,~
stɹɪp:strip;stɹɪ:stri,p:p;~ɪ~1,~
stɹɪpɪŋ:stripping;stɹɪ:stri,pɪ:ppi,ŋ:ng;~ɪ~ɪ~1,~
stɹɛtʃ:stretch;stɹɛ:stre,tʃ:tch;~ɛ~1,~
stɹɪŋ:string;stɹɪ:stri,ŋ:ng;~ɪ~1,~
stɹɔŋ:strong;stɹɔ:stro,ŋ:ng;~ɔ~1,~
stɹɛŋgθ:strength;stɹɛ:stre,ŋg:ng,θ:th;~ɛ~1,~1,~
stɹʌɡl:struggle;stɹʌ:stru,ɡl:ggle;~ʌ~1,~
stɹɛŋθən:strengthen;stɹɛ:stre,ŋθə:ngthe,n:n;~ɛ~ə~1,~
sun:soon;su:soo,n:n;~u~1,~
sup:soup;su:sou,p:p;~u~1,~
sut:suit;su:sui,t:t;~u~1,~
sutəbl:suitable;su:sui,tə:ta,bl:ble;~u~ə~1,~
suɪsaɪd:suicide;su:su,ɪ:i,saɪ:ci,d:de;~u~ɪ~aɪ~1,~
supəɹstɪʃənz:superstitions;su:su,pə:pe,ɹ:r,stɪ:sti,ʃə:tio,nz:ns;~u~ə~1,~ɪ~ə~1,~
swip:sweep;swi:swee,p:p;~i~1,~
swit:sweet;swi:swee,t:t;~i~1,~
switn:sweeten;swi:swee,tn:ten;~i~1,~
swɛl:swell;swɛ:swe,l:ll;~ɛ~1,~
swɑləʊ:swallow;swɑ:swa,ləʊ:llow;~ɑ~əʊ~
swɪm:swim;swɪ:swi,m:m;~ɪ~1,~
swɛt:sweat;swɛ:swea,t:t;~ɛ~1,~
swɪŋ:swing;swɪ:swi,ŋ:ng;~ɪ~1,~
swɛə:swear;swɛ:swea,ə:r;~ɛ~ə~
swɔɹθmɔɹ:swarthmore;swɔ:swa,ɹθ:rth,mɔ:mo,ɹ:re;~ɔ~1,~ɔ~1,~
swɔɹθaʊt:swarthout;swɔ:swa,ɹθaʊ:rthou,t:t;~ɔ~aʊ~1,~
səbtɹækt:subtract;sə:su,b:b,tɹæ:tra,kt:ct;~ə~1,~æ~1,~
səbdʒɛkt:subject;sə:su,bdʒɛ:bje,kt:ct;~ə~ɛ~2,~
sədʒɛst:suggest;sə:su,dʒɛ:gge,st:st;~ə~ɛ~1,~
sədʒɛstʃən:suggestion;sə:su,dʒɛ:gge,stʃə:stio,n:n;~ə~ɛ~ə~1,~
səfɪstəkeɪʃən:sophistication;sə:so,fɪ:phi,stə:sti,keɪ:ca,ʃə:tio,n:n;~ə~ɪ~ə~eɪ~ə~1,~
səksid:succeed;sə:su,ksi:ccee,d:d;~ə~i~1,~
səksɛs:success;sə:su,ksɛ:cce,s:ss;~ə~ɛ~1,~
səksɛsfəl:successful;sə:su,ksɛ:cce,sfə:ssfu,l:l;~ə~ɛ~ə~2,~
sɪkyʊɹətɪ:security;sɪ:se,kyʊ:cu,ɹə:ri,tɪ:ty;~ɪ~ʊ~ə~ɪ~
səluʃən:solution;sə:so,lu:lu,ʃə:tio,n:n;~ə~u~ə~1,~
səlɛkt:select;sə:se,lɛ:le,kt:ct;~ə~ɛ~1,~
sɪmplɪsətɪ:simplicity;sɪ:si,mplɪ:mpli,sə:ci,tɪ:ty;~ɪ~ɪ~ə~ɪ~
səmtaɪmz:sometimes;sə:so,mtaɪ:meti,mz:mes;~ə~aɪ~1,~
səmɛnt:cement;sə:ce,mɛ:me,nt:nt;~ə~ɛ~1,~
sɪnklɛə:sinclair;sɪ:si,nklɛ:nclai,ə:r;~ɪ~ɛ~ə~
sɛnseɪʃən:sensation;sɛ:se,nseɪ:nsa,ʃə:tio,n:n;~ɛ~eɪ~ə~1,~
sɪnsɪə:sincere;sɪ:si,nsɪ:nce,ə:re;~ɪ~ɪ~ə~
səplaɪ:supply;sə:su,plaɪ:pply;~ə~aɪ~
səpoʊz:suppose;sə:su,poʊ:ppo,z:se;~ə~oʊ~1,~
səpoʊzd:supposed;sə:su,poʊ:ppo,zd:sed;~ə~oʊ~1,~
sɛptɛmbəɹ:september;sɛ:se,ptɛ:pte,mbə:mbe,ɹ:r;~ɛ~ɛ~ə~2,~
səpɔɹt:support;sə:su,pɔ:ppo,ɹt:rt;~ə~ɔ~1,~
səspɛkt:suspect;sə:su,spɛ:spe,kt:ct;~ə~ɛ~1,~
səspɪʃən:suspicion;sə:su,spɪ:spi,ʃə:cio,n:n;~ə~ɪ~ə~1,~
səspɪʃəs:suspicious;sə:su,spɪ:spi,ʃə:ciou,s:s;~ə~ɪ~ə~1,~
səvɪə:severe;sə:se,vɪ:ve,ə:re;~ə~ɪ~ə~
sɔwɑɹ:soir;sɔ:so,wɑ:i,ɹ:r;~ɔ~ɑ~1,~
səɹaʊnd:surround;sə:su,ɹaʊ:rrou,nd:nd;~ə~aʊ~1,~
səɡnɪfɪkənt:significant;sə:si,ɡnɪ:gni,fɪ:fi,kə:ca,nt:nt;~ə~ɪ~ɪ~ə~2,~
səɹpɹaɪz:surprise;sə:su,ɹpɹaɪ:rpri,z:se;~ə~aɪ~1,~
səɹɔɹətɪ:sorority;sə:so,ɹɔ:ro,ɹə:ri,tɪ:ty;~ə~ɔ~ə~ɪ~
sɔ:saw;sɔ:saw;~ɔ~
sʌbstəns:substance;sʌ:su,b:b,stə:sta,ns:nce;~ʌ~1,~ə~1,~
sɑbɪə:sabia;sɑ:sa,bɪ:bi,ə:a;~ɑ~ɪ~ə~
sɛd:said;sɛ:sai,d:d;~ɛ~1,~
sʌdən:sudden;sʌ:su,də:dde,n:n;~ʌ~ə~1,~
sʌdənlɪ:suddenly;sʌ:su,də:dde,nlɪ:nly;~ʌ~ə~ɪ~
sɑfn:soften;sɑ:so,fn:ften;~ɑ~1,~
sɔftwɛɹ:software;sɔ:so,ft:ft,wɛ:wa,ɹ:re;~ɔ~1,~ɛ~1,~
sɑft:soft;sɑ:so,ft:ft;~ɑ~1,~
sɛfələpɑd:cephalopod;sɛ:ce,fə:pha,lə:lo,pɑ:po,d:d;~ɛ~ə~ə~ɑ~1,~
sʌfəɹ:suffer;sʌ:su,fə:ffe,ɹ:r;~ʌ~ə~1,~
sʌfɜɹɪŋ:suffering;sʌ:su,fɜ:ffe,ɹɪ:ri,ŋ:ng;~ʌ~ɜ~ɪ~1,~
sɪk:sick;sɪ:si,k:ck;~ɪ~1,~
sɑk:sock;sɑ:so,k:ck;~ɑ~1,~
sʌk:suck;sʌ:su,k:ck;~ʌ~1,~
sɪksθ:sixth;sɪ:si,ks:x,θ:th;~ɪ~1,~1,~
sɛks:sex;sɛ:se,ks:x;~ɛ~1,~
sɪks:six;sɪ:si,ks:x;~ɪ~1,~
sɪkstin:sixteen;sɪ:si,ksti:xtee,n:n;~ɪ~i~1,~
sɪkstɪz:sixties;sɪ:si,kstɪ:xtie,z:s;~ɪ~ɪ~1,~
sɛkənd:second;sɛ:se,kə:co,nd:nd;~ɛ~ə~1,~
sɛkʃuəl:sexual;sɛ:se,kʃu:xu,ə:a,l:l;~ɛ~u~ə~1,~
sɛkʃən:section;sɛ:se,kʃə:ctio,n:n;~ɛ~ə~2,~
sɛkɹətɛɹɪ:secretary;sɛ:se,kɹə:cre,tɛ:ta,ɹɪ:ry;~ɛ~ə~ɛ~ɪ~
sɛl:cell;sɛ:ce,l:ll;~ɛ~1,~
sɔl:saul;sɔ:sau,l:l;~ɔ~1,~
sɛl:sell;sɛ:se,l:ll;~ɛ~1,~
sɪl:sil;sɪ:si,l:l;~ɪ~1,~
sɛldəm:seldom;sɛ:se,ldə:ldo,m:m;~ɛ~ə~1,~
sɛlf:self;sɛ:se,lf:lf;~ɛ~1,~
sɛlfɪʃ:selfish;sɛ:se,lfɪ:lfi,ʃ:sh;~ɛ~ɪ~1,~
sɪlk:silk;sɪ:si,lk:lk;~ɪ~1,~
sɔlt:salt;sɔ:sa,lt:lt;~ɔ~1,~
sɑlv:solve;sɑ:so,lv:lve;~ɑ~1,~
sɪlvəɹ:silver;sɪ:si,lvə:lve,ɹ:r;~ɪ~ə~1,~
sɛlz:cells;sɛ:ce,lz:lls;~ɛ~1,~
sɪlɪ:silly;sɪ:si,lɪ:lly;~ɪ~ɪ~
sɑləd:solid;sɑ:so,lə:li,d:d;~ɑ~ə~1,~
sɑləm:solemn;sɑ:so,lə:le,m:mn;~ɑ~ə~1,~
sʌmbɑdɪ:somebody;sʌ:so,m:me,bɑ:bo,dɪ:dy;~ʌ~1,~ɑ~ɪ~
sʌmhaʊ:somehow;sʌ:so,m:me,haʊ:how;~ʌ~1,~aʊ~
sʌmtaɪm:sometime;sʌ:so,m:me,taɪ:ti,m:me;~ʌ~1,~aɪ~1,~
sʌmwʌn:someone;sʌ:so,m:me,wʌ:o,n:ne;~ʌ~1,~ʌ~1,~
sʌmwɛɹ:somewhere;sʌ:so,m:me,wɛ:whe,ɹ:re;~ʌ~1,~ɛ~1,~
sʌmθɪŋ:something;sʌ:so,m:me,θɪ:thi,ŋ:ng;~ʌ~1,~ɪ~1,~
sʌm:some;sʌ:so,m:me;~ʌ~1,~
sʌm:sum;sʌ:su,m:m;~ʌ~1,~
sɪmpl:simple;sɪ:si,mpl:mple;~ɪ~2,~
sɪmplɪ:simply;sɪ:si,mplɪ:mply;~ɪ~ɪ~
sɪmpəθɪ:sympathy;sɪ:sy,mpə:mpa,θɪ:thy;~ɪ~ə~ɪ~
sɪmɪləɹ:similar;sɪ:si,mɪ:mi,lə:la,ɹ:r;~ɪ~ɪ~ə~1,~
sʌməɹhɪl:summerhill;sʌ:su,mə:mme,ɹ:r,hɪ:hi,l:ll;~ʌ~ə~1,~ɪ~1,~
sʌməɹ:summer;sʌ:su,mə:mme,ɹ:r;~ʌ~ə~2,~
sʌn:son;sʌ:so,n:n;~ʌ~1,~
sʌn:sun;sʌ:su,n:n;~ʌ~1,~
sɛnd:send;sɛ:se,nd:nd;~ɛ~1,~
sɛnslɛs:senseless;sɛ:se,ns:nse,lɛ:le,s:ss;~ɛ~1,~ɛ~1,~
sɛns:sense;sɛ:se,ns:nse;~ɛ~1,~
sɪns:since;sɪ:si,ns:nce;~ɪ~1,~
sɛnsɪbl:sensible;sɛ:se,nsɪ:nsi,bl:ble;~ɛ~ɪ~1,~
sɛnsɪtɪv:sensitive;sɛ:se,nsɪ:nsi,tɪ:ti,v:ve;~ɛ~ɪ~ɪ~1,~
sɛnt:cent;sɛ:ce,nt:nt;~ɛ~1,~
sɛnt:scent;sɛ:sce,nt:nt;~ɛ~1,~
sɛnt:sent;sɛ:se,nt:nt;~ɛ~2,~
sɛntəmitəɹ:centimeter;sɛ:ce,ntə:nti,mi:me,tə:te,ɹ:r;~ɛ~ə~i~ə~1,~
sɛntəns:sentence;sɛ:se,ntə:nte,ns:nce;~ɛ~ə~1,~
sɛntəɹ:center;sɛ:ce,ntə:nte,ɹ:r;~ɛ~ə~1,~
sɛntəɹ:centre;sɛ:ce,ntə:ntre;~ɛ~ə~2,~
sɛntɹəl:central;sɛ:ce,ntɹə:ntra,l:l;~ɛ~ə~2,~
sɛntʃəɹɪ:century;sɛ:ce,ntʃə:ntu,ɹɪ:ry;~ɛ~ə~ɪ~
sɪnəmə:cinema;sɪ:ci,nə:ne,mə:ma;~ɪ~ə~ə~
sɪnəɹdʒɪ:cinergy;sɪ:ci,nə:ne,ɹdʒɪ:rgy;~ɪ~ə~ɪ~
sʌpəɹ:supper;sʌ:su,pə:ppe,ɹ:r;~ʌ~ə~1,~
sɛpəɹeɪt:separate;sɛ:se,pə:pa,ɹeɪ:ra,t:te;~ɛ~ə~eɪ~1,~
sɔs:sauce;sɔ:sau,s:ce;~ɔ~1,~
sɪstəm:system;sɪ:sy,stə:ste,m:m;~ɪ~ə~1,~
sɪstəmz:systems;sɪ:sy,stə:ste,mz:ms;~ɪ~ə~1,~
sɪstəɹ:sister;sɪ:si,stə:ste,ɹ:r;~ɪ~ə~1,~
sɔsəɹ:saucer;sɔ:sau,sə:ce,ɹ:r;~ɔ~ə~1,~
sɛt:set;sɛ:se,t:t;~ɛ~1,~
sɪt:sit;sɪ:si,t:t;~ɪ~1,~
sɑthɔf:saathoff;sɑ:saa,thɔ:tho,f:ff;~ɑ~ɔ~1,~
sɛtl:settle;sɛ:se,tl:ttle;~ɛ~2,~
sʌtʃ:such;sʌ:su,tʃ:ch;~ʌ~1,~
sɪtɪ:city;sɪ:ci,tɪ:ty;~ɪ~ɪ~
sɪtɪz:cities;sɪ:ci,tɪ:tie,z:s;~ɪ~ɪ~1,~
sɪtəzən:citizen;sɪ:ci,tə:ti,zə:ze,n:n;~ɪ~ə~ə~1,~
sɪtɪŋ:sitting;sɪ:si,tɪ:tti,ŋ:ng;~ɪ~ɪ~1,~
sɛvnθ:seventh;sɛ:se,vn:ven,θ:th;~ɛ~1,~1,~
sɛvn:seven;sɛ:se,vn:ven;~ɛ~1,~
sɪvəlaɪz:civilize;sɪ:ci,və:vi,laɪ:li,z:ze;~ɪ~ə~aɪ~1,~
sɛvɹəl:several;sɛ:se,vɹə:vera,l:l;~ɛ~ə~1,~
sɛz:says;sɛ:say,z:s;~ɛ~1,~
sɪzəɹz:scissors;sɪ:sci,zə:sso,ɹz:rs;~ɪ~ə~1,~
sʌðəɹn:southern;sʌ:sou,ðə:the,ɹn:rn;~ʌ~ə~1,~
sɜɹɹɪbətəl:surrebuttal;sɜ:su,ɹ:r,ɹɪ:re,bə:bu,tə:tta,l:l;~ɜ~1,~ɪ~ə~ə~1,~
sɪŋ:sing;sɪ:si,ŋ:ng;~ɪ~1,~
sɜɹ:sir;sɜ:si,ɹ:r;~ɜ~1,~
sɔŋ:song;sɔ:so,ŋ:ng;~ɔ~1,~
sɔɹ:sore;sɔ:so,ɹ:re;~ɔ~1,~
sɔɹd:sword;sɔ:swo,ɹd:rd;~ɔ~1,~
sɜɹfbɔɹdz:surfboards;sɜ:su,ɹf:rf,bɔ:boa,ɹdz:rds;~ɜ~1,~ɔ~1,~
sɜɹfəs:surface;sɜ:su,ɹfə:rfa,s:ce;~ɜ~ə~1,~
sɪŋk:sink;sɪ:si,ŋk:nk;~ɪ~1,~
sɜɹkyʊləɹ:circular;sɜ:ci,ɹkyʊ:rcu,lə:la,ɹ:r;~ɜ~ʊ~ə~1,~
sɜɹkəl:circle;sɜ:ci,ɹkə:rc,l:le;~ɜ~ə~1,~
sɜɹmə:surma;sɜ:su,ɹmə:rma;~ɜ~ə~
sɪɡnəl:signal;sɪ:si,ɡnə:gna,l:l;~ɪ~ə~1,~
sɪɡnətʃəɹ:signature;sɪ:si,ɡnə:gna,tʃə:tu,ɹ:re;~ɪ~ə~ə~2,~
