æbəhəlimə:abohalima;:,æb:ab,əh:oh,əl:al,im:im,ə:a;~~æ~ə~ə~i~ə~
slipɪŋ:sleeping;sl:sl,ip:eep,ɪŋ:ing;~~i~ɪ~
sloʊ:slow;sl:sl,oʊ:ow;~~oʊ~
sloʊp:slope;sl:sl,oʊp:ope;~~oʊ~
sluθs:sleuths;sl:sl,uθs:euths;~~u~
slɪp:slip;sl:sl,ɪp:ip;~~ɪ~
slɑpɪɛst:sloppiest;sl:sl,ɑp:opp,ɪ:i,ɛst:est;~~ɑ~ɪ~ɛ~
slɪpəɹɪ:slippery;sl:sl,ɪp:ipp,əɹ:er,ɪ:y;~~ɪ~ə~ɪ~
smaɪl:smile;sm:sm,aɪl:ile;~~aɪ~
smoʊk:smoke;sm:sm,oʊk:oke;~~oʊ~
smuð:smooth;sm:sm,uð:ooth;~~u~
smɔl:small;sm:sm,ɔl:all;~~ɔ~
smɛl:smell;sm:sm,ɛl:ell;~~ɛ~
smɪə:smear;sm:sm,ɪ:ea,ə:r;~~ɪ~ə~
smɑɹt:smart;sm:sm,ɑɹt:art;~~ɑ~
snaɪpəɹz:snipers';sn:sn,aɪp:ip,əɹz:ers';~~aɪ~ə~
sneɪk:snake;sn:sn,eɪk:ake;~~eɪ~
snoʊ:snow;sn:sn,oʊ:ow;~~oʊ~
snoʊz:snows;sn:sn,oʊz:ows;~~oʊ~
snɪft:sniffed;sn:sn,ɪft:iffed;~~ɪ~
snɑɹlɪŋ:snarling;sn:sn,ɑɹl:arl,ɪŋ:ing;~~ɑ~ɪ~
soʊ:sew;s:s,oʊ:ew;~~oʊ~
soʊ:so;s:s,oʊ:o;~~oʊ~
soʊl:soul;s:s,oʊl:oul;~~oʊ~
soʊldʒəɹ:soldier;s:s,oʊldʒ:old,əɹ:ier;~~oʊ~ə~
soʊləɹ:solar;s:s,oʊl:ol,əɹ:ar;~~oʊ~ə~
soʊp:soap;s:s,oʊp:oap;~~oʊ~
soʊʃəl:social;s:s,oʊʃ:oc,əl:ial;~~oʊ~ə~
spænd:spanned;sp:sp,ænd:anned;~~æ~
spaɪt:spite;sp:sp,aɪt:ite;~~aɪ~
speɪd:spade;sp:sp,eɪd:ade;~~eɪ~
speɪskɹæft:spacecraft;sp:sp,eɪs:ace,kɹ:cr,æft:aft;~~eɪ~~æ~
speɪs:space;sp:sp,eɪs:ace;~~eɪ~
spid:speed;sp:sp,id:eed;~~i~
spik:speak;sp:sp,ik:eak;~~i~
spikɜɹz:speakers;sp:sp,ik:eak,ɜɹz:ers;~~i~ɜ~
spitʃ:speech;sp:sp,itʃ:eech;~~i~
spiə:speare;sp:sp,i:ea,ə:re;~~i~ə~
spiʃɪz:species;sp:sp,iʃ:ec,ɪz:ies;~~i~ɪ~
splɛndɪd:splendid;spl:spl,ɛnd:end,ɪd:id;~~ɛ~ɪ~
splɪt:split;spl:spl,ɪt:it;~~ɪ~
spun:spoon;sp:sp,un:oon;~~u~
spəsɪfɪk:specific;sp:sp,əs:ec,ɪf:if,ɪk:ic;~~ə~ɪ~ɪ~
spɑ:spa;sp:sp,ɑ:a;~~ɑ~
spɛktɹəm:spectrum;sp:sp,ɛktɹ:ectr,əm:um;~~ɛ~ə~
spɛkjəleɪtɪŋ:speculating;sp:sp,ɛkj:ec,əl:ul,eɪt:at,ɪŋ:ing;~~ɛ~ə~eɪ~ɪ~
spɛl:spell;sp:sp,ɛl:ell;~~ɛ~
spɪl:spill;sp:sp,ɪl:ill;~~ɪ~
spɪn:spin;sp:sp,ɪn:in;~~ɪ~
spɛnd:spend;sp:sp,ɛnd:end;~~ɛ~
spɛnt:spent;sp:sp,ɛnt:ent;~~ɛ~
spɪt:spit;sp:sp,ɪt:it;~~ɪ~
spɑt:spot;sp:sp,ɑt:ot;~~ɑ~
spɔɹ:spaur;sp:sp,ɔɹ:aur;~~ɔ~
spɛə:spare;sp:sp,ɛ:a,ə:re;~~ɛ~ə~
spɪə:spear;sp:sp,ɪ:ea,ə:r;~~ɪ~ə~
spɔɹt:sport;sp:sp,ɔɹt:ort;~~ɔ~
spɛʃəl:special;sp:sp,ɛʃ:ec,əl:ial;~~ɛ~ə~
spɛʃəlɪst:specialist;sp:sp,ɛʃ:ec,əl:ial,ɪst:ist;~~ɛ~ə~ɪ~
spɪɹət:spirit;sp:sp,ɪɹ:ir,ət:it;~~ɪ~ə~
spɹɛd:spread;spɹ:spr,ɛd:ead;~~ɛ~
spɔɪl:spoil;sp:sp,ɔɪl:oil;~~ɔɪ~
spɹɪŋ:spring;spɹ:spr,ɪŋ:ing;~~ɪ~
spɹɪŋklz:sprinkles;spɹ:spr,ɪŋklz:inkles;~~ɪ~
stæf:staff;st:st,æf:aff;~~æ~
stæmp:stamp;st:st,æmp:amp;~~æ~
stænd:stand;st:st,ænd:and;~~æ~
stændɪŋ:standing;st:st,ænd:and,ɪŋ:ing;~~æ~ɪ~
stændəɹd:standard;st:st,ænd:and,əɹd:ard;~~æ~ə~
stætʃuz:statues;st:st,ætʃ:at,uz:ues;~~æ~u~
staɪl:style;st:st,aɪl:yle;~~aɪ~
steɪ:stay;st:st,eɪ:ay;~~eɪ~
steɪdʒ:stage;st:st,eɪdʒ:age;~~eɪ~
steɪn:stain;st:st,eɪn:ain;~~eɪ~
steɪt:state;st:st,eɪt:ate;~~eɪ~
steɪtmənt:statement;st:st,eɪtm:atem,ənt:ent;~~eɪ~ə~
steɪts:states;st:st,eɪts:ates;~~eɪ~
steɪʃən:station;st:st,eɪʃ:at,ən:ion;~~eɪ~ə~
stilhɛd:steelhead;st:st,il:eel,h:h,ɛd:ead;~~i~~ɛ~
stil:steal;st:st,il:eal;~~i~
stil:steel;st:st,il:eel;~~i~
stim:steam;st:st,im:eam;~~i~
stip:steep;st:st,ip:eep;~~i~
stiv:steve;st:st,iv:eve;~~i~
stoʊn:stone;st:st,oʊn:one;~~oʊ~
stoʊv:stove;st:st,oʊv:ove;~~oʊ~
studmən:studeman;st:st,udm:udem,ən:an;~~u~ə~
studənt:student;st:st,ud:ud,ənt:ent;~~u~ə~
studənts:students;st:st,ud:ud,ənts:ents;~~u~ə~
stupəd:stupid;st:st,up:up,əd:id;~~u~ə~
stuɪŋ:stewing;st:st,u:ew,ɪŋ:ing;~~u~ɪ~
stuəɹts:stuarts;st:st,u:u,əɹts:arts;~~u~ə~
stɛdɪ:steady;st:st,ɛd:ead,ɪ:y;~~ɛ~ɪ~
stʌdɪ:study;st:st,ʌd:ud,ɪ:y;~~ʌ~ɪ~
stʌdɪz:studies;st:st,ʌd:ud,ɪz:ies;~~ʌ~ɪ~
stɪf:stiff;st:st,ɪf:iff;~~ɪ~
stʌf:stuff;st:st,ʌf:uff;~~ʌ~
stɪfən:stiffen;st:st,ɪf:iff,ən:en;~~ɪ~ə~
stɪk:stick;st:st,ɪk:ick;~~ɪ~
stɑk:stock;st:st,ɑk:ock;~~ɑ~
stɪkɪ:sticky;st:st,ɪk:ick,ɪ:y;~~ɪ~ɪ~
stɑkɪŋ:stocking;st:st,ɑk:ock,ɪŋ:ing;~~ɑ~ɪ~
stɪl:still;st:st,ɪl:ill;~~ɪ~
stɛm:stem;st:st,ɛm:em;~~ɛ~
stʌmbɔ:stumbaugh;st:st,ʌmb:umb,ɔ:augh;~~ʌ~ɔ~
stʌmək:stomach;st:st,ʌm:om,ək:ach;~~ʌ~ə~
stɛp:step;st:st,ɛp:ep;~~ɛ~
stɑp:stop;st:st,ɑp:op;~~ɑ~
stɪtʃ:stitch;st:st,ɪtʃ:itch;~~ɪ~
stɜɹbɪns:sterbenz;st:st,ɜɹ:er,b:b,ɪns:enz;~~ɜ~~ɪ~
stɑɹ:star;st:st,ɑɹ:ar;~~ɑ~
stɪŋ:sting;st:st,ɪŋ:ing;~~ɪ~
stɜɹ:stir;st:st,ɜɹ:ir;~~ɜ~
stɔɹ:store;st:st,ɔɹ:ore;~~ɔ~
stɛə:stair;st:st,ɛ:ai,ə:r;~~ɛ~ə~
stɪə:steer;st:st,ɪ:eer;~~ɪ~ə~
stɔɹm:storm;st:st,ɔɹm:orm;~~ɔ~
stɑɹt:start;st:st,ɑɹt:art;~~ɑ~
stɑɹts:starts;st:st,ɑɹts:arts;~~ɑ~
stɑɹtəd:started;st:st,ɑɹt:art,əd:ed;~~ɑ~ə~
stɑɹtɪŋ:starting;st:st,ɑɹt:art,ɪŋ:ing;~~ɑ~ɪ~
stɜɹz:stirs;st:stir,ɜɹz:s;~~ɜ~
stɔɹɪ:story;st:st,ɔɹ:or,ɪ:y;~~ɔ~ɪ~
stɔɹɪz:stories;st:st,ɔɹ:or,ɪz:ies;~~ɔ~ɪ~
stɜɹɪŋz:stirrings;st:st,ɜɹ:irr,ɪŋz:ings;~~ɜ~ɪ~
stɹæp:strap;stɹ:str,æp:ap;~~æ~
stɹætədʒɪ:strategy;stɹ:str,æt:at,ədʒ:eg,ɪ:y;~~æ~ə~ɪ~
stɹætɪdʒɪst:strategist;stɹ:str,æt:at,ɪdʒ:eg,ɪst:ist;~~æ~ɪ~ɪ~
stɹaɪk:strike;stɹ:str,aɪk:ike;~~aɪ~
stɹaɪp:stripe;stɹ:str,aɪp:ipe;~~aɪ~
stɹaɪpəɹz:stripers;stɹ:str,aɪp:ip,əɹz:ers;~~aɪ~ə~
stɹaɪvz:strives;stɹ:str,aɪvz:ives;~~aɪ~
stɹeɪndʒ:strange;stɹ:str,eɪndʒ:ange;~~eɪ~
stɹeɪndʒəɹ:stranger;stɹ:str,eɪndʒ:ang,əɹ:er;~~eɪ~ə~
stɹeɪt:straight;stɹ:str,eɪt:aight;~~eɪ~
stɹeɪtn:straighten;stɹ:str,eɪtn:aighten;~~eɪ~
stɹim:stream;stɹ:str,im:eam;~~i~
stɹit:street;stɹ:str,it:eet;~~i~
stɹoʊk:stroke;stɹ:str,oʊk:oke;~~oʊ~
stɹɔ:straw;stɹ:str,ɔ:aw;~~ɔ~
stɹɪkt:strict;stɹ:str,ɪkt:ict;~~ɪ~
stɹʌktʃəɹ:structure;stɹ:str,ʌktʃ:uct,əɹ:ure;~~ʌ~ə~
stɹɪp:strip;stɹ:str,ɪp:ip;~~ɪ~
stɹɪpɪŋ:stripping;stɹ:str,ɪp:ipp,ɪŋ:ing;~~ɪ~ɪ~
stɹɛtʃ:stretch;stɹ:str,ɛtʃ:etch;~~ɛ~
stɹɪŋ:string;stɹ:str,ɪŋ:ing;~~ɪ~
stɹɔŋ:strong;stɹ:str,ɔŋ:ong;~~ɔ~
stɹɛŋgθ:strength;stɹ:str,ɛŋg:eng,θ:th;~~ɛ~~
stɹʌɡl:struggle;stɹ:str,ʌɡl:uggle;~~ʌ~
stɹɛŋθən:strengthen;stɹ:str,ɛŋθ:ength,ən:en;~~ɛ~ə~
sun:soon;s:s,un:oon;~~u~
sup:soup;s:s,up:oup;~~u~
sut:suit;s:s,ut:uit;~~u~
sutəbl:suitable;s:s,ut:uit,əbl:able;~~u~ə~
suɪsaɪd:suicide;s:s,u:u,ɪs:ic,aɪd:ide;~~u~ɪ~aɪ~
supəɹstɪʃənz:superstitions;s:s,up:up,əɹ:er,st:st,ɪʃ:it,ənz:ions;~~u~ə~~ɪ~ə~
swip:sweep;sw:sw,ip:eep;~~i~
swit:sweet;sw:sw,it:eet;~~i~
switn:sweeten;sw:sw,itn:eeten;~~i~
swɛl:swell;sw:sw,ɛl:ell;~~ɛ~
swɑləʊ:swallow;sw:sw,ɑl:all,əʊ:ow;~~ɑ~əʊ~
swɪm:swim;sw:sw,ɪm:im;~~ɪ~
swɛt:sweat;sw:sw,ɛt:eat;~~ɛ~
swɪŋ:swing;sw:sw,ɪŋ:ing;~~ɪ~
swɛə:swear;sw:sw,ɛ:ea,ə:r;~~ɛ~ə~
swɔɹθmɔɹ:swarthmore;sw:sw,ɔɹθ:arth,m:m,ɔɹ:ore;~~ɔ~~ɔ~
swɔɹθaʊt:swarthout;sw:sw,ɔɹθ:arth,aʊt:out;~~ɔ~aʊ~
səbtɹækt:subtract;s:s,əb:ub,tɹ:tr,ækt:act;~~ə~~æ~
səbdʒɛkt:subject;s:s,əbdʒ:ubj,ɛkt:ect;~~ə~ɛ~
sədʒɛst:suggest;s:s,ədʒ:ugg,ɛst:est;~~ə~ɛ~
sədʒɛstʃən:suggestion;s:s,ədʒ:ugg,ɛstʃ:est,ən:ion;~~ə~ɛ~ə~
səfɪstəkeɪʃən:sophistication;s:s,əf:oph,ɪst:ist,ək:ic,eɪʃ:at,ən:ion;~~ə~ɪ~ə~eɪ~ə~
səksid:succeed;s:s,əks:ucc,id:eed;~~ə~i~
səksɛs:success;s:s,əks:ucc,ɛs:ess;~~ə~ɛ~
səksɛsfəl:successful;s:s,əks:ucc,ɛsf:essf,əl:ul;~~ə~ɛ~ə~
sɪkjʊɹətɪ:security;s:s,ɪkj:ec,ʊɹ:ur,ət:it,ɪ:y;~~ɪ~ʊ~ə~ɪ~
səluʃən:solution;s:s,əl:ol,uʃ:ut,ən:ion;~~ə~u~ə~
səlɛkt:select;s:s,əl:el,ɛkt:ect;~~ə~ɛ~
sɪmplɪsətɪ:simplicity;s:s,ɪmpl:impl,ɪs:ic,ət:it,ɪ:y;~~ɪ~ɪ~ə~ɪ~
səmtaɪmz:sometimes;s:s,əmt:omet,aɪmz:imes;~~ə~aɪ~
səmɛnt:cement;s:c,əm:em,ɛnt:ent;~~ə~ɛ~
sɪnklɛə:sinclair;s:s,ɪnkl:incl,ɛ:ai,ə:r;~~ɪ~ɛ~ə~
sɛnseɪʃən:sensation;s:s,ɛns:ens,eɪʃ:at,ən:ion;~~ɛ~eɪ~ə~
sɪnsɪə:sincere;s:s,ɪns:inc,ɪ:er,ə:e;~~ɪ~ɪ~ə~
səplaɪ:supply;s:s,əpl:uppl,aɪ:y;~~ə~aɪ~
səpoʊz:suppose;s:s,əp:upp,oʊz:ose;~~ə~oʊ~
səpoʊzd:supposed;s:s,əp:upp,oʊzd:osed;~~ə~oʊ~
sɛptɛmbəɹ:september;s:s,ɛpt:ept,ɛmb:emb,əɹ:er;~~ɛ~ɛ~ə~
səpɔɹt:support;s:s,əp:upp,ɔɹt:ort;~~ə~ɔ~
səspɛkt:suspect;s:s,əsp:usp,ɛkt:ect;~~ə~ɛ~
səspɪʃən:suspicion;s:s,əsp:usp,ɪʃ:ic,ən:ion;~~ə~ɪ~ə~
səspɪʃəs:suspicious;s:s,əsp:usp,ɪʃ:ic,əs:ious;~~ə~ɪ~ə~
səvɪə:severe;s:s,əv:ev,ɪ:er,ə:e;~~ə~ɪ~ə~
sɔwɑɹ:soir;s:s,ɔw:o,ɑɹ:ir;~~ɔ~ɑ~
səɹaʊnd:surround;s:s,əɹ:urr,aʊnd:ound;~~ə~aʊ~
səɡnɪfɪkənt:significant;s:s,əɡn:ign,ɪf:if,ɪk:ic,ənt:ant;~~ə~ɪ~ɪ~ə~
səɹpɹaɪz:surprise;s:s,əɹpɹ:urpr,aɪz:ise;~~ə~aɪ~
səɹɔɹətɪ:sorority;s:s,əɹ:or,ɔɹ:or,ət:it,ɪ:y;~~ə~ɔ~ə~ɪ~
sɔ:saw;s:s,ɔ:aw;~~ɔ~
sʌbstəns:substance;s:s,ʌb:ub,st:st,əns:ance;~~ʌ~~ə~
sɑbɪə:sabia;s:s,ɑb:ab,ɪ:i,ə:a;~~ɑ~ɪ~ə~
sɛd:said;s:s,ɛd:aid;~~ɛ~
sʌdən:sudden;s:s,ʌd:udd,ən:en;~~ʌ~ə~
sʌdənlɪ:suddenly;s:s,ʌd:udd,ənl:enl,ɪ:y;~~ʌ~ə~ɪ~
sɑfn:soften;s:s,ɑfn:often;~~ɑ~
sɔftwɛɹ:software;s:s,ɔft:oft,w:w,ɛɹ:are;~~ɔ~~ɛ~
sɑft:soft;s:s,ɑft:oft;~~ɑ~
sɛfələpɑd:cephalopod;s:c,ɛf:eph,əl:al,əp:op,ɑd:od;~~ɛ~ə~ə~ɑ~
sʌfəɹ:suffer;s:s,ʌf:uff,əɹ:er;~~ʌ~ə~
sʌfɜɹɪŋ:suffering;s:s,ʌf:uff,ɜɹ:er,ɪŋ:ing;~~ʌ~ɜ~ɪ~
sɪk:sick;s:s,ɪk:ick;~~ɪ~
sɑk:sock;s:s,ɑk:ock;~~ɑ~
sʌk:suck;s:s,ʌk:uck;~~ʌ~
sɪksθ:sixth;s:s,ɪks:ix,θ:th;~~ɪ~~
sɛks:sex;s:s,ɛks:ex;~~ɛ~
sɪks:six;s:s,ɪks:ix;~~ɪ~
sɪkstin:sixteen;s:s,ɪkst:ixt,in:een;~~ɪ~i~
sɪkstɪz:sixties;s:s,ɪkst:ixt,ɪz:ies;~~ɪ~ɪ~
sɛkənd:second;s:s,ɛk:ec,ənd:ond;~~ɛ~ə~
sɛkʃuəl:sexual;s:s,ɛkʃ:ex,u:u,əl:al;~~ɛ~u~ə~
sɛkʃən:section;s:s,ɛkʃ:ect,ən:ion;~~ɛ~ə~
sɛkɹətɛɹɪ:secretary;s:s,ɛkɹ:ecr,ət:et,ɛɹ:ar,ɪ:y;~~ɛ~ə~ɛ~ɪ~
sɛl:cell;s:c,ɛl:ell;~~ɛ~
sɔl:saul;s:s,ɔl:aul;~~ɔ~
sɛl:sell;s:s,ɛl:ell;~~ɛ~
sɪl:sil;s:s,ɪl:il;~~ɪ~
sɛldəm:seldom;s:s,ɛld:eld,əm:om;~~ɛ~ə~
sɛlf:self;s:s,ɛlf:elf;~~ɛ~
sɛlfɪʃ:selfish;s:s,ɛlf:elf,ɪʃ:ish;~~ɛ~ɪ~
sɪlk:silk;s:s,ɪlk:ilk;~~ɪ~
sɔlt:salt;s:s,ɔlt:alt;~~ɔ~
sɑlv:solve;s:s,ɑlv:olve;~~ɑ~
sɪlvəɹ:silver;s:s,ɪlv:ilv,əɹ:er;~~ɪ~ə~
sɛlz:cells;s:c,ɛlz:ells;~~ɛ~
sɪlɪ:silly;s:s,ɪl:ill,ɪ:y;~~ɪ~ɪ~
sɑləd:solid;s:s,ɑl:ol,əd:id;~~ɑ~ə~
sɑləm:solemn;s:s,ɑl:ol,əm:emn;~~ɑ~ə~
sʌmbɑdɪ:somebody;s:s,ʌm:ome,b:b,ɑd:od,ɪ:y;~~ʌ~~ɑ~ɪ~
sʌmhaʊ:somehow;s:s,ʌm:ome,h:h,aʊ:ow;~~ʌ~~aʊ~
sʌmtaɪm:sometime;s:s,ʌm:ome,t:t,aɪm:ime;~~ʌ~~aɪ~
sʌmwʌn:someone;s:s,ʌm:ome,w:,ʌn:one;~~ʌ~~ʌ~
sʌmwɛɹ:somewhere;s:s,ʌm:ome,w:wh,ɛɹ:ere;~~ʌ~~ɛ~
sʌmθɪŋ:something;s:s,ʌm:ome,θ:th,ɪŋ:ing;~~ʌ~~ɪ~
sʌm:some;s:s,ʌm:ome;~~ʌ~
sʌm:sum;s:s,ʌm:um;~~ʌ~
sɪmpl:simple;s:s,ɪmpl:imple;~~ɪ~
sɪmplɪ:simply;s:s,ɪmpl:impl,ɪ:y;~~ɪ~ɪ~
sɪmpəθɪ:sympathy;s:s,ɪmp:ymp,əθ:ath,ɪ:y;~~ɪ~ə~ɪ~
sɪmɪləɹ:similar;s:s,ɪm:im,ɪl:il,əɹ:ar;~~ɪ~ɪ~ə~
sʌməɹhɪl:summerhill;s:s,ʌm:umm,əɹ:er,h:h,ɪl:ill;~~ʌ~ə~~ɪ~
sʌməɹ:summer;s:s,ʌm:umm,əɹ:er;~~ʌ~ə~
sʌn:son;s:s,ʌn:on;~~ʌ~
sʌn:sun;s:s,ʌn:un;~~ʌ~
sɛnd:send;s:s,ɛnd:end;~~ɛ~
sɛnslɛs:senseless;s:s,ɛns:ense,l:l,ɛs:ess;~~ɛ~~ɛ~
sɛns:sense;s:s,ɛns:ense;~~ɛ~
sɪns:since;s:s,ɪns:ince;~~ɪ~
sɛnsɪbl:sensible;s:s,ɛns:ens,ɪbl:ible;~~ɛ~ɪ~
sɛnsɪtɪv:sensitive;s:s,ɛns:ens,ɪt:it,ɪv:ive;~~ɛ~ɪ~ɪ~
sɛnt:cent;s:c,ɛnt:ent;~~ɛ~
sɛnt:scent;s:sc,ɛnt:ent;~~ɛ~
sɛnt:sent;s:s,ɛnt:ent;~~ɛ~
sɛntəmitəɹ:centimeter;s:c,ɛnt:ent,əm:im,it:et,əɹ:er;~~ɛ~ə~i~ə~
sɛntəns:sentence;s:s,ɛnt:ent,əns:ence;~~ɛ~ə~
sɛntəɹ:center;s:c,ɛnt:ent,əɹ:er;~~ɛ~ə~
sɛntəɹ:centre;s:c,ɛnt:entr,əɹ:e;~~ɛ~ə~
sɛntɹəl:central;s:c,ɛntɹ:entr,əl:al;~~ɛ~ə~
sɛntʃəɹɪ:century;s:c,ɛntʃ:ent,əɹ:ur,ɪ:y;~~ɛ~ə~ɪ~
sɪnəmə:cinema;s:c,ɪn:in,əm:em,ə:a;~~ɪ~ə~ə~
sɪnəɹdʒɪ:cinergy;s:c,ɪn:in,əɹdʒ:erg,ɪ:y;~~ɪ~ə~ɪ~
sʌpəɹ:supper;s:s,ʌp:upp,əɹ:er;~~ʌ~ə~
sɛpəɹeɪt:separate;s:s,ɛp:ep,əɹ:ar,eɪt:ate;~~ɛ~ə~eɪ~
sɔs:sauce;s:s,ɔs:auce;~~ɔ~
sɪstəm:system;s:s,ɪst:yst,əm:em;~~ɪ~ə~
sɪstəmz:systems;s:s,ɪst:yst,əmz:ems;~~ɪ~ə~
sɪstəɹ:sister;s:s,ɪst:ist,əɹ:er;~~ɪ~ə~
sɔsəɹ:saucer;s:s,ɔs:auc,əɹ:er;~~ɔ~ə~
sɛt:set;s:s,ɛt:et;~~ɛ~
sɪt:sit;s:s,ɪt:it;~~ɪ~
sɑthɔf:saathoff;s:s,ɑth:aath,ɔf:off;~~ɑ~ɔ~
sɛtl:settle;s:s,ɛtl:ettle;~~ɛ~
sʌtʃ:such;s:s,ʌtʃ:uch;~~ʌ~
sɪtɪ:city;s:c,ɪt:it,ɪ:y;~~ɪ~ɪ~
sɪtɪz:cities;s:c,ɪt:it,ɪz:ies;~~ɪ~ɪ~
sɪtəzən:citizen;s:c,ɪt:it,əz:iz,ən:en;~~ɪ~ə~ə~
sɪtɪŋ:sitting;s:s,ɪt:itt,ɪŋ:ing;~~ɪ~ɪ~
sɛvnθ:seventh;s:s,ɛvn:even,θ:th;~~ɛ~~
sɛvn:seven;s:s,ɛvn:even;~~ɛ~
sɪvəlaɪz:civilize;s:c,ɪv:iv,əl:il,aɪz:ize;~~ɪ~ə~aɪ~
sɛvɹəl:several;s:s,ɛvɹ:ever,əl:al;~~ɛ~ə~
sɛz:says;s:s,ɛz:ays;~~ɛ~
sɪzəɹz:scissors;s:sc,ɪz:iss,əɹz:ors;~~ɪ~ə~
sʌðəɹn:southern;s:s,ʌð:outh,əɹn:ern;~~ʌ~ə~
sɜɹɹɪbətəl:surrebuttal;s:s,ɜɹ:ur,ɹ:r,ɪb:eb,ət:utt,əl:al;~~ɜ~~ɪ~ə~ə~
sɪŋ:sing;s:s,ɪŋ:ing;~~ɪ~
sɜɹ:sir;s:s,ɜɹ:ir;~~ɜ~
sɔŋ:song;s:s,ɔŋ:ong;~~ɔ~
sɔɹ:sore;s:s,ɔɹ:ore;~~ɔ~
sɔɹd:sword;s:sw,ɔɹd:ord;~~ɔ~
sɜɹfbɔɹdz:surfboards;s:s,ɜɹf:urf,b:b,ɔɹdz:oards;~~ɜ~~ɔ~
sɜɹfəs:surface;s:s,ɜɹf:urf,əs:ace;~~ɜ~ə~
sɪŋk:sink;s:s,ɪŋk:ink;~~ɪ~
sɜɹkjʊləɹ:circular;s:c,ɜɹkj:irc,ʊl:ul,əɹ:ar;~~ɜ~ʊ~ə~
sɜɹkəl:circle;s:c,ɜɹk:irc,əl:le;~~ɜ~ə~
sɜɹmə:surma;s:s,ɜɹm:urm,ə:a;~~ɜ~ə~
sɪɡnəl:signal;s:s,ɪɡn:ign,əl:al;~~ɪ~ə~
sɪɡnətʃəɹ:signature;s:s,ɪɡn:ign,ətʃ:at,əɹ:ure;~~ɪ~ə~ə~
sɔɹs:source;s:s,ɔɹs:ource;~~ɔ~
sɔɹt:sort;s:s,ɔɹt:ort;~~ɔ~
sɔɹts:sorts;s:s,ɔɹts:orts;~~ɔ~
sɜɹtʃ:search;s:s,ɜɹtʃ:earch;~~ɜ~
sɜɹtən:certain;s:c,ɜɹt:ert,ən:ain;~~ɜ~ə~
sɜɹtənlɪ:certainly;s:c,ɜɹt:ert,ənl:ainl,ɪ:y;~~ɜ~ə~ɪ~
sɜɹtəntɪ:certainty;s:c,ɜɹt:ert,ənt:aint,ɪ:y;~~ɜ~ə~ɪ~
sɜɹv:serve;s:s,ɜɹv:erve;~~ɜ~
sɜɹvd:served;s:s,ɜɹvd:erved;~~ɜ~
sɜɹvənt:servant;s:s,ɜɹv:erv,ənt:ant;~~ɜ~ə~
sɜɹvəs:service;s:s,ɜɹv:erv,əs:ice;~~ɜ~ə~
sɜɹvəsəz:services;s:s,ɜɹv:erv,əs:ic,əz:es;~~ɜ~ə~ə~
sɔŋz:songs;s:s,ɔŋz:ongs;~~ɔ~
sɑɹɪ:sorry;s:s,ɑɹ:orr,ɪ:y;~~ɑ~ɪ~
sɜɹɪbətəl:surrebuttal;s:s,ɜɹ:urr,ɪb:eb,ət:utt,əl:al;~~ɜ~ɪ~ə~ə~
sɛɹədeɪz:ceredase;s:c,ɛɹ:er,əd:ed,eɪz:ase;~~ɛ~ə~eɪ~
sɛɹəmoʊnɪ:ceremony;s:c,ɛɹ:er,əm:em,oʊn:on,ɪ:y;~~ɛ~ə~oʊ~ɪ~
sɛʃən:session;s:s,ɛʃ:ess,ən:ion;~~ɛ~ə~
sɪɹɪz:series;s:s,ɪɹ:er,ɪz:ies;~~ɪ~ɪ~
sɪɹɪəs:serious;s:s,ɪɹ:er,ɪ:i,əs:ous;~~ɪ~ɪ~ə~
sɪŋɡl:single;s:s,ɪŋɡl:ingle;~~ɪ~
sɪŋɡjuləɹ:singular;s:s,ɪŋɡj:ing,ul:ul,əɹ:ar;~~ɪ~u~ə~
sɑɹəʊ:sorrow;s:s,ɑɹ:orr,əʊ:ow;~~ɑ~əʊ~
sʌbzɪɹəʊ:subzero;s:s,ʌb:ub,z:z,ɪɹ:er,əʊ:o;~~ʌ~~ɪ~əʊ~
sɪmpəθɛtɪk:sympathetic;s:s,ɪm:ym,p:p,əθ:ath,ɛt:et,ɪk:ic;~~ɪ~~ə~ɛ~ɪ~
sɛmɪænjəwəl:semiannual;s:s,ɛm:em,ɪ:i,ænj:ann,əw:u,əl:al;~~ɛ~ɪ~æ~ə~ə~
sɪməlæɹɪtɪ:similarity;s:s,ɪm:im,əl:il,æɹ:ar,ɪt:it,ɪ:y;~~ɪ~ə~æ~ɪ~ɪ~
sɪndɪkeɪʃən:syndication;s:s,ɪnd:ynd,ɪk:ic,eɪʃ:at,ən:ion;~~ɪ~ɪ~eɪ~ə~
sɛnʃʊæləti:sensuality;s:s,ɛnʃ:ens,ʊ:u,æl:al,ət:it,i:y;~~ɛ~ʊ~æ~ə~i~
sɛpəɹeɪʃən:separation;s:s,ɛp:ep,əɹ:ar,eɪʃ:at,ən:ion;~~ɛ~ə~eɪ~ə~
sɪtʃueɪʃən:situation;s:s,ɪtʃ:it,u:u,eɪʃ:at,ən:ion;~~ɪ~u~eɪ~ə~
sɪvəlɪzeɪʃən:civilization;s:c,ɪv:iv,əl:il,ɪz:iz,eɪʃ:at,ən:ion;~~ɪ~ə~ɪ~eɪ~ə~
sɪɡəɹɛt:cigarette;s:c,ɪɡ:ig,əɹ:a,ɛt:rette;~~ɪ~ə~ɛ~
